Model,Accuracy,Precision,Recall,F1 Score,ROC-AUC,PR-AUC
Logistic Regression,0.7077922077922078,0.6,0.5,0.5454545454545454,0.812962962962963,0.673326163579994
SVM,0.7402597402597403,0.6521739130434783,0.5555555555555556,0.6,0.7963888888888889,0.6615267161192857
Random Forest,0.7337662337662337,0.6444444444444445,0.5370370370370371,0.5858585858585859,0.8158333333333333,0.6874326213882799
XGBoost,0.7532467532467533,0.6538461538461539,0.6296296296296297,0.6415094339622641,0.827037037037037,0.6854855172870662
